"Year","Geography","DGUID","Age_Group","Gender","Indicators","Number.of.persons","Low.95..confidence.interval..number.of.persons","High.95..confidence.interval..number.of.persons","Coefficient.of.variation.for.number.of.persons","Percent","Low.95..confidence.interval..percent","High.95..confidence.interval..percent","Coefficient.of.variation.for.percent"
2012,"Ontario","2021A000235","65+ years","Total, gender of person","Suicidal thoughts, life",111708,86508,136907,115,6,4.6,7.4,115
2012,"Ontario","2021A000235","65+ years","Total, gender of person","Suicidal thoughts, 12 months",23387,11618,35156,257,1.3,0.6,1.9,257
2012,"Ontario","2021A000235","65+ years","Men+","Any mood disorder, life",35938,19681,52194,231,4.3,2.4,6.3,231
2012,"Ontario","2021A000235","65+ years","Men+","Major depressive episode, life",34885,18716,51054,237,4.2,2.2,6.1,236
2012,"Ontario","2021A000235","65+ years","Men+","Generalized anxiety disorder, life",27902,11904,43899,293,3.3,1.4,5.3,292
2012,"Ontario","2021A000235","65+ years","Men+","Suicidal thoughts, life",32286,18224,46348,222,3.9,2.2,5.5,222
2012,"Ontario","2021A000235","65+ years","Women+","Any mood disorder, life",104516,78514,130517,127,10.3,7.8,12.9,127
2012,"Ontario","2021A000235","65+ years","Women+","Major depressive episode, life",99790,74153,125428,131,9.9,7.3,12.4,131
2012,"Ontario","2021A000235","65+ years","Women+","Generalized anxiety disorder, life",76644,50545,102744,174,7.5,5,10.1,173
2012,"Ontario","2021A000235","65+ years","Women+","Suicidal thoughts, life",79422,58728,100116,133,7.8,5.7,9.8,133
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Any mood disorder, life",604164,540166,668162,54,12.6,11.3,13.9,54
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Major depressive episode, life",527274,471123,583425,54,11,9.8,12.1,54
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Bipolar disorder, life",122630,90518,154741,134,2.6,1.9,3.2,133
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Generalized anxiety disorder, life",422076,368183,475970,65,8.8,7.7,9.9,65
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",624905,564312,685498,50,12.9,11.7,14.2,50
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",172520,138177,206862,102,3.6,2.9,4.3,102
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",70586,51031,90141,141,1.5,1.1,1.9,141
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Total, gender of person","Eating disorder, current diagnosed condition",19533,10416,28649,238,0.4,0.2,0.6,238
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Any mood disorder, life",239425,191247,287603,103,9.9,7.9,11.9,102
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Major depressive episode, life",183373,146329,220418,103,7.5,6,9.1,103
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Bipolar disorder, life",75300,46461,104139,195,3.1,1.9,4.3,195
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Generalized anxiety disorder, life",135522,104909,166135,115,5.6,4.3,6.9,115
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Suicidal thoughts, life",301988,256182,347793,77,12.4,10.5,14.3,77
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Suicidal thoughts, 12 months",79207,53420,104994,166,3.3,2.2,4.3,166
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Men+","Schizophrenia or psychosis, ever received diagnosis",34599,21368,47829,195,1.4,0.9,2,195
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Any mood disorder, life",364739,317859,411620,66,15.4,13.4,17.3,65
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Major depressive episode, life",343901,298484,389319,67,14.4,12.5,16.3,67
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Bipolar disorder, life",47330,33469,61191,149,2,1.4,2.6,149
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Generalized anxiety disorder, life",286555,242229,330880,79,12,10.2,13.9,79
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Suicidal thoughts, life",322918,285774,360061,59,13.4,11.9,15,59
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Suicidal thoughts, 12 months",93313,71725,114901,118,3.9,3,4.8,118
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Schizophrenia or psychosis, ever received diagnosis",35988,20980,50995,213,1.5,0.9,2.1,213
2012,"Prairie Provinces","2021A00014","Total 15++ Years","Women+","Eating disorder, current diagnosed condition",13068,5839,20298,282,0.5,0.2,0.8,282
2012,"Prairie Provinces","2021A00014","15-24 Years","Total, gender of person","Any mood disorder, life",93249,70842,115655,123,11.6,8.8,14.4,123
2012,"Prairie Provinces","2021A00014","15-24 Years","Total, gender of person","Major depressive episode, life",82656,60945,104366,134,10.2,7.6,12.9,134
2012,"Prairie Provinces","2021A00014","15-24 Years","Total, gender of person","Bipolar disorder, life",22687,14470,30904,185,2.8,1.8,3.8,185
2012,"Prairie Provinces","2021A00014","15-24 Years","Total, gender of person","Generalized anxiety disorder, life",47272,30950,63594,176,5.9,3.9,7.9,176
2012,"Prairie Provinces","2021A00014","15-24 Years","Total, gender of person","Suicidal thoughts, life",134338,105926,162750,108,16.6,13.1,20.1,108
2012,"Prairie Provinces","2021A00014","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",50019,34852,65186,155,6.2,4.3,8.1,155
2012,"Prairie Provinces","2021A00014","15-24 Years","Men+","Any mood disorder, life",32188,18209,46166,222,7.8,4.4,11.2,221
2012,"Prairie Provinces","2021A00014","15-24 Years","Men+","Major depressive episode, life",24772,11458,38086,274,6,2.8,9.2,274
2012,"Prairie Provinces","2021A00014","15-24 Years","Men+","Bipolar disorder, life",11426,5691,17161,256,2.8,1.4,4.1,256
2012,"Prairie Provinces","2021A00014","15-24 Years","Men+","Generalized anxiety disorder, life",16036,6386,25687,307,3.9,1.6,6.2,307
2012,"Prairie Provinces","2021A00014","15-24 Years","Men+","Suicidal thoughts, life",64071,46527,81616,140,15.5,11.2,19.7,140
2012,"Prairie Provinces","2021A00014","15-24 Years","Men+","Suicidal thoughts, 12 months",20072,11050,29095,229,4.8,2.7,7,229
2012,"Prairie Provinces","2021A00014","15-24 Years","Women+","Any mood disorder, life",61061,44763,77359,136,15.6,11.5,19.8,136
2012,"Prairie Provinces","2021A00014","15-24 Years","Women+","Major depressive episode, life",57884,41465,74303,145,14.7,10.6,18.9,145
2012,"Prairie Provinces","2021A00014","15-24 Years","Women+","Bipolar disorder, life",11260,5491,17030,261,2.9,1.4,4.4,262
2012,"Prairie Provinces","2021A00014","15-24 Years","Women+","Generalized anxiety disorder, life",31236,17922,44549,218,8,4.6,11.4,217
2012,"Prairie Provinces","2021A00014","15-24 Years","Women+","Suicidal thoughts, life",70267,51768,88765,134,17.9,13.2,22.6,134
2012,"Prairie Provinces","2021A00014","15-24 Years","Women+","Suicidal thoughts, 12 months",29947,16821,43073,224,7.6,4.3,11,224
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Any mood disorder, life",226077,185170,266983,92,13.1,10.7,15.5,93
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Major depressive episode, life",173183,140614,205753,96,10,8.1,11.9,96
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Bipolar disorder, life",68919,40270,97569,212,4,2.3,5.7,211
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Generalized anxiety disorder, life",158157,121971,194343,117,9.2,7.1,11.3,116
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Suicidal thoughts, life",230681,194775,266588,79,13.3,11.2,15.3,80
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",57095,36967,77223,180,3.3,2.1,4.4,180
2012,"Prairie Provinces","2021A00014","25-44 years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",22275,12066,32484,234,1.3,0.7,1.9,234
2012,"Prairie Provinces","2021A00014","25-44 years","Men+","Any mood disorder, life",111372,77680,145065,154,12.5,8.7,16.3,154
2012,"Prairie Provinces","2021A00014","25-44 years","Men+","Major depressive episode, life",71041,49731,92351,153,7.9,5.5,10.3,153
2012,"Prairie Provinces","2021A00014","25-44 years","Men+","Bipolar disorder, life",49737,22680,76794,278,5.6,2.6,8.6,276
2012,"Prairie Provinces","2021A00014","25-44 years","Men+","Generalized anxiety disorder, life",60069,35731,84406,207,6.7,4,9.5,207
2012,"Prairie Provinces","2021A00014","25-44 years","Men+","Suicidal thoughts, life",115289,87386,143193,124,12.9,9.7,16,124
2012,"Prairie Provinces","2021A00014","25-44 years","Men+","Suicidal thoughts, 12 months",28175,11109,45240,309,3.1,1.2,5,309
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Any mood disorder, life",114704,88073,141336,119,13.8,10.6,17,118
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Major depressive episode, life",102142,77001,127284,126,12.2,9.2,15.2,125
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Bipolar disorder, life",19182,8678,29685,279,2.3,1,3.6,278
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Generalized anxiety disorder, life",98088,74932,121244,120,11.8,9,14.5,120
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Suicidal thoughts, life",115392,95175,135609,89,13.7,11.3,16.1,89
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Suicidal thoughts, 12 months",28920,18696,39144,180,3.4,2.2,4.6,180
2012,"Prairie Provinces","2021A00014","25-44 years","Women+","Schizophrenia or psychosis, ever received diagnosis",14972,5940,24003,308,1.8,0.7,2.8,308
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Any mood disorder, life",245331,200831,289831,93,15.7,12.9,18.6,92
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Major depressive episode, life",232156,188089,276223,97,14.8,12,17.6,97
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Bipolar disorder, life",26460,13787,39133,244,1.7,0.9,2.5,244
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Generalized anxiety disorder, life",184283,146861,221706,104,11.8,9.4,14.1,104
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Suicidal thoughts, life",210885,175545,246225,86,13.4,11.1,15.6,86
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Suicidal thoughts, 12 months",51590,32945,70235,184,3.3,2.1,4.5,184
2012,"Prairie Provinces","2021A00014","45-64 years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",27301,16100,38501,209,1.7,1,2.4,209
2012,"Prairie Provinces","2021A00014","45-64 years","Men+","Any mood disorder, life",85064,56790,113338,170,10.8,7.2,14.3,169
2012,"Prairie Provinces","2021A00014","45-64 years","Men+","Major depressive episode, life",76987,49949,104026,179,9.7,6.3,13.1,179
2012,"Prairie Provinces","2021A00014","45-64 years","Men+","Generalized anxiety disorder, life",48930,32232,65629,174,6.2,4.1,8.3,174
2012,"Prairie Provinces","2021A00014","45-64 years","Men+","Suicidal thoughts, life",102745,75878,129612,133,12.9,9.5,16.2,133
2012,"Prairie Provinces","2021A00014","45-64 years","Men+","Suicidal thoughts, 12 months",27254,11612,42896,293,3.4,1.5,5.4,293
2012,"Prairie Provinces","2021A00014","45-64 years","Men+","Schizophrenia or psychosis, ever received diagnosis",19060,9071,29049,267,2.4,1.1,3.6,267
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Any mood disorder, life",160267,122820,197715,119,20.8,15.9,25.6,119
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Major depressive episode, life",155168,117970,192367,122,20.1,15.2,24.9,122
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Bipolar disorder, life",14276,7353,21199,247,1.8,0.9,2.7,247
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Generalized anxiety disorder, life",135353,100657,170049,131,17.5,13,22,131
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Suicidal thoughts, life",108140,83268,133011,117,13.9,10.7,17.1,117
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Suicidal thoughts, 12 months",24336,12104,36568,256,3.1,1.6,4.7,257
2012,"Prairie Provinces","2021A00014","45-64 years","Women+","Schizophrenia or psychosis, ever received diagnosis",8241,4403,12078,238,1.1,0.6,1.5,238
2012,"Prairie Provinces","2021A00014","65+ years","Total, gender of person","Any mood disorder, life",39508,30025,48991,123,5.6,4.3,7,122
2012,"Prairie Provinces","2021A00014","65+ years","Total, gender of person","Major depressive episode, life",39280,29792,48767,123,5.6,4.2,6.9,123
2012,"Prairie Provinces","2021A00014","65+ years","Total, gender of person","Generalized anxiety disorder, life",32364,23776,40952,135,4.6,3.4,5.8,135
2012,"Prairie Provinces","2021A00014","65+ years","Total, gender of person","Suicidal thoughts, life",49001,35643,62360,139,6.9,5,8.7,139
2012,"Prairie Provinces","2021A00014","65+ years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",5870,2094,9647,328,0.8,0.3,1.4,328
2012,"Prairie Provinces","2021A00014","65+ years","Men+","Any mood disorder, life",10801,5772,15831,238,3.4,1.8,4.9,237
2012,"Prairie Provinces","2021A00014","65+ years","Men+","Major depressive episode, life",10573,5555,15590,242,3.3,1.7,4.8,242
2012,"Prairie Provinces","2021A00014","65+ years","Men+","Generalized anxiety disorder, life",10486,5103,15869,262,3.3,1.6,4.9,262
2012,"Prairie Provinces","2021A00014","65+ years","Men+","Suicidal thoughts, life",19882,12497,27267,190,6.1,3.8,8.3,190
2012,"Prairie Provinces","2021A00014","65+ years","Men+","Suicidal thoughts, 12 months",3706,1495,5918,305,1.1,0.5,1.8,304
2012,"Prairie Provinces","2021A00014","65+ years","Women+","Any mood disorder, life",28707,20300,37114,149,7.6,5.3,9.8,149
2012,"Prairie Provinces","2021A00014","65+ years","Women+","Major depressive episode, life",28707,20300,37114,149,7.5,5.3,9.7,149
2012,"Prairie Provinces","2021A00014","65+ years","Women+","Generalized anxiety disorder, life",21878,15198,28558,156,5.7,4,7.5,156
2012,"Prairie Provinces","2021A00014","65+ years","Women+","Suicidal thoughts, life",29119,18395,39843,188,7.5,4.8,10.3,188
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Any mood disorder, life",132682,108009,157355,95,13.9,11.3,16.5,95
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Major depressive episode, life",124765,100001,149529,101,13,10.5,15.6,101
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Bipolar disorder, life",18335,12282,24388,168,1.9,1.3,2.6,168
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Generalized anxiety disorder, life",93177,72883,113472,111,9.8,7.7,12,111
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",146406,123391,169421,80,15.2,12.8,17.6,80
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",49307,33789,64825,161,5.1,3.5,6.7,161
2012,"Manitoba","2021A000246","Total 15++ Years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",12042,6381,17703,240,1.3,0.7,1.8,240
2012,"Manitoba","2021A000246","Total 15++ Years","Men+","Any mood disorder, life",39847,24639,55055,195,8.4,5.2,11.7,194
2012,"Manitoba","2021A000246","Total 15++ Years","Men+","Major depressive episode, life",34913,19467,50359,226,7.4,4.1,10.7,225
2012,"Manitoba","2021A000246","Total 15++ Years","Men+","Bipolar disorder, life",9244,4796,13691,246,1.9,1,2.9,245
2012,"Manitoba","2021A000246","Total 15++ Years","Men+","Generalized anxiety disorder, life",20903,12280,29527,211,4.5,2.6,6.3,210
2012,"Manitoba","2021A000246","Total 15++ Years","Men+","Suicidal thoughts, life",65435,49975,80894,121,13.8,10.5,17,121
2012,"Manitoba","2021A000246","Total 15++ Years","Men+","Suicidal thoughts, 12 months",20309,11180,29438,229,4.3,2.4,6.2,229
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Any mood disorder, life",92835,72817,112852,110,19.2,15.1,23.3,110
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Major depressive episode, life",89852,69995,109709,113,18.5,14.5,22.6,113
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Bipolar disorder, life",9092,4633,13550,250,1.9,1,2.8,249
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Generalized anxiety disorder, life",72274,53327,91221,134,15.1,11.1,19.1,134
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Suicidal thoughts, life",80972,65165,96779,100,16.6,13.4,19.9,100
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Suicidal thoughts, 12 months",28998,16929,41067,212,5.9,3.5,8.4,212
2012,"Manitoba","2021A000246","Total 15++ Years","Women+","Schizophrenia or psychosis, ever received diagnosis",5174,2722,7626,242,1.1,0.6,1.6,242
2012,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Any mood disorder, life",15448,9135,21762,209,9.4,5.6,13.3,208
2012,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Major depressive episode, life",13142,7102,19182,235,8,4.3,11.7,234
2012,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Generalized anxiety disorder, life",6749,3097,10402,276,4.1,1.9,6.4,276
2012,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Suicidal thoughts, life",25068,17508,32628,154,15.2,10.6,19.8,154
2012,"Manitoba","2021A000246","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",12934,7214,18654,226,7.8,4.4,11.3,226
2012,"Manitoba","2021A000246","15-24 Years","Men+","Suicidal thoughts, life",11823,6475,17171,231,14,7.7,20.3,231
2012,"Manitoba","2021A000246","15-24 Years","Men+","Suicidal thoughts, 12 months",7238,2899,11577,306,8.6,3.4,13.7,306
2012,"Manitoba","2021A000246","15-24 Years","Women+","Any mood disorder, life",11062,5699,16426,247,13.8,7.1,20.5,247
2012,"Manitoba","2021A000246","15-24 Years","Women+","Major depressive episode, life",10162,4808,15515,269,12.6,6,19.3,269
2012,"Manitoba","2021A000246","15-24 Years","Women+","Generalized anxiety disorder, life",4993,1760,8226,330,6.3,2.2,10.3,331
2012,"Manitoba","2021A000246","15-24 Years","Women+","Suicidal thoughts, life",13246,7829,18662,209,16.5,9.7,23.2,209
2012,"Manitoba","2021A000246","15-24 Years","Women+","Suicidal thoughts, 12 months",5696,2080,9312,324,7.1,2.6,11.6,324
2012,"Manitoba","2021A000246","25-44 years","Total, gender of person","Any mood disorder, life",38481,26302,50661,162,12.4,8.5,16.4,161
2012,"Manitoba","2021A000246","25-44 years","Total, gender of person","Major depressive episode, life",34588,22829,46346,173,11.2,7.4,15,173
2012,"Manitoba","2021A000246","25-44 years","Total, gender of person","Bipolar disorder, life",8921,4442,13399,256,2.9,1.5,4.4,255
2012,"Manitoba","2021A000246","25-44 years","Total, gender of person","Generalized anxiety disorder, life",20742,13675,27810,174,6.8,4.5,9.1,172
2012,"Manitoba","2021A000246","25-44 years","Total, gender of person","Suicidal thoughts, life",62547,48212,76882,117,20.1,15.5,24.7,117
2012,"Manitoba","2021A000246","25-44 years","Total, gender of person","Suicidal thoughts, 12 months",18651,10151,27152,233,6,3.3,8.7,233
2012,"Manitoba","2021A000246","25-44 years","Men+","Any mood disorder, life",12576,7032,18121,225,8.1,4.5,11.6,225
2012,"Manitoba","2021A000246","25-44 years","Men+","Major depressive episode, life",9997,4928,15065,259,6.4,3.2,9.7,259
2012,"Manitoba","2021A000246","25-44 years","Men+","Bipolar disorder, life",5084,2082,8086,301,3.3,1.3,5.2,301
2012,"Manitoba","2021A000246","25-44 years","Men+","Generalized anxiety disorder, life",4970,2129,7812,292,3.2,1.4,5,292
2012,"Manitoba","2021A000246","25-44 years","Men+","Suicidal thoughts, life",28799,18186,39412,188,18.5,11.7,25.3,188
2012,"Manitoba","2021A000246","25-44 years","Women+","Any mood disorder, life",25905,15045,36764,214,16.9,9.8,24,214
2012,"Manitoba","2021A000246","25-44 years","Women+","Major depressive episode, life",24591,13916,35266,222,16,9.1,23,221
2012,"Manitoba","2021A000246","25-44 years","Women+","Generalized anxiety disorder, life",15772,9115,22428,215,10.6,6.2,15,212
2012,"Manitoba","2021A000246","25-44 years","Women+","Suicidal thoughts, life",33748,24303,43193,143,21.8,15.7,27.9,143
2012,"Manitoba","2021A000246","25-44 years","Women+","Suicidal thoughts, 12 months",13751,6342,21160,275,8.9,4.1,13.7,275
2012,"Manitoba","2021A000246","45-64 years","Total, gender of person","Any mood disorder, life",69674,49389,89958,149,22,15.6,28.3,148
2012,"Manitoba","2021A000246","45-64 years","Total, gender of person","Major depressive episode, life",67956,47699,88214,152,21.4,15.1,27.7,151
2012,"Manitoba","2021A000246","45-64 years","Total, gender of person","Bipolar disorder, life",5479,1978,8980,326,1.7,0.6,2.8,326
2012,"Manitoba","2021A000246","45-64 years","Total, gender of person","Generalized anxiety disorder, life",57311,39276,75346,161,18.1,12.4,23.8,160
2012,"Manitoba","2021A000246","45-64 years","Total, gender of person","Suicidal thoughts, life",46971,31250,62692,171,14.6,9.7,19.5,171
2012,"Manitoba","2021A000246","45-64 years","Men+","Suicidal thoughts, life",19461,9039,29884,273,12.1,5.6,18.5,273
2012,"Manitoba","2021A000246","45-64 years","Women+","Any mood disorder, life",49453,34100,64806,158,31.2,21.5,40.9,158
2012,"Manitoba","2021A000246","45-64 years","Women+","Major depressive episode, life",48685,33388,63983,160,30.6,21,40.2,160
2012,"Manitoba","2021A000246","45-64 years","Women+","Generalized anxiety disorder, life",46195,28781,63610,192,29,18,39.9,192
2012,"Manitoba","2021A000246","45-64 years","Women+","Suicidal thoughts, life",27510,16587,38432,203,17.2,10.3,24,203
2012,"Manitoba","2021A000246","65+ years","Total, gender of person","Any mood disorder, life",9079,5096,13061,224,5.5,3.1,7.9,224
2012,"Manitoba","2021A000246","65+ years","Total, gender of person","Major depressive episode, life",9079,5096,13061,224,5.5,3.1,7.9,224
2012,"Manitoba","2021A000246","65+ years","Total, gender of person","Generalized anxiety disorder, life",8375,4401,12349,242,5.2,2.7,7.7,243
2012,"Manitoba","2021A000246","65+ years","Total, gender of person","Suicidal thoughts, life",11821,7424,16217,190,7.1,4.5,9.8,190
2012,"Manitoba","2021A000246","65+ years","Men+","Suicidal thoughts, life",5352,2240,8463,297,7.2,3,11.4,297
2012,"Manitoba","2021A000246","65+ years","Women+","Any mood disorder, life",6414,2953,9875,275,7,3.2,10.8,275
2012,"Manitoba","2021A000246","65+ years","Women+","Major depressive episode, life",6414,2953,9875,275,7,3.2,10.8,275
2012,"Manitoba","2021A000246","65+ years","Women+","Generalized anxiety disorder, life",5313,1927,8699,325,5.9,2.1,9.7,327
2012,"Manitoba","2021A000246","65+ years","Women+","Suicidal thoughts, life",6469,3137,9801,263,7,3.4,10.7,263
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Any mood disorder, life",93740,75349,112132,100,11.7,9.4,14,100
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Major depressive episode, life",84590,68649,100532,96,10.5,8.5,12.5,96
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Bipolar disorder, life",17426,9984,24868,218,2.2,1.2,3.1,218
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Generalized anxiety disorder, life",73912,55750,92074,125,9.2,6.9,11.4,126
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Suicidal thoughts, life",110418,93516,127320,78,13.6,11.6,15.7,78
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Suicidal thoughts, 12 months",31435,20764,42105,173,3.9,2.6,5.2,173
2012,"Saskatchewan","2021A000247","Total 15++ Years","Total, gender of person","Schizophrenia or psychosis, ever received diagnosis",7685,4150,11220,235,0.9,0.5,1.4,235
2012,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Any mood disorder, life",35277,24219,46335,160,8.8,6,11.5,160
2012,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Major depressive episode, life",32989,21902,44077,172,8.2,5.4,10.9,172
2012,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Bipolar disorder, life",7340,3500,11180,267,1.8,0.9,2.8,267
2012,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Generalized anxiety disorder, life",22294,12684,31904,220,5.6,3.2,8,220
2012,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Suicidal thoughts, life",54783,41467,68099,124,13.7,10.3,17,124
2012,"Saskatchewan","2021A000247","Total 15++ Years","Men+","Suicidal thoughts, 12 months",13003,4586,21419,330,3.2,1.1,5.3,330
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Any mood disorder, life",58464,44965,71963,118,14.7,11.3,18,117
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Major depressive episode, life",51601,39232,63970,122,12.8,9.7,15.9,123
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Bipolar disorder, life",10086,4000,16173,308,2.5,1,4,307
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Generalized anxiety disorder, life",51618,38905,64332,126,12.7,9.6,15.8,126
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Suicidal thoughts, life",55635,45065,66205,97,13.6,11,16.2,97
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Suicidal thoughts, 12 months",18432,11730,25134,186,4.5,2.9,6.2,186
2012,"Saskatchewan","2021A000247","Total 15++ Years","Women+","Schizophrenia or psychosis, ever received diagnosis",4495,2003,6986,283,1.1,0.5,1.7,283
2012,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Any mood disorder, life",14836,9177,20495,195,11,6.8,15.1,194
2012,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Major depressive episode, life",12810,7078,18543,228,9.4,5.2,13.6,228
2012,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Generalized anxiety disorder, life",4669,1637,7700,331,3.4,1.2,5.7,331
2012,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Suicidal thoughts, life",25478,17938,33017,151,18.7,13.1,24.2,151
2012,"Saskatchewan","2021A000247","15-24 Years","Total, gender of person","Suicidal thoughts, 12 months",9074,5009,13140,229,6.6,3.7,9.6,229
2012,"Saskatchewan","2021A000247","15-24 Years","Men+","Suicidal thoughts, life",12196,6721,17670,229,17.3,9.6,25.1,229
2012,"Saskatchewan","2021A000247","15-24 Years","Women+","Any mood disorder, life",9581,5161,14000,235,14.7,7.9,21.4,235
2012,"Saskatchewan","2021A000247","15-24 Years","Women+","Major depressive episode, life",8455,4048,12862,266,12.8,6.1,19.5,266
2012,"Saskatchewan","2021A000247","15-24 Years","Women+","Suicidal thoughts, life",13282,8506,18059,184,20.1,12.8,27.3,184
2012,"Saskatchewan","2021A000247","15-24 Years","Women+","Suicidal thoughts, 12 months",6536,3134,9938,266,9.9,4.7,15,266
2012,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Any mood disorder, life",40062,26432,53691,174,15.5,10.3,20.7,172
2012,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Major depressive episode, life",35760,24387,47133,162,13.7,9.4,18.1,162
2012,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Bipolar disorder, life",7375,2776,11974,318,2.9,1.1,4.6,317
2012,"Saskatchewan","2021A000247","25-44 years","Total, gender of person","Generalized anxiety disorder, life",40768,24992,56544,197,15.6,9.6,21.7,198
